"#name","#img","School","City","Country","Description","Forest Health","Insect Damage","Insects Identified","RecentFire","Year of Last Fire","Coniferous Trees","Deciduous Trees","Bushes Present","Tall Grass Present","Deadwood on the floor","Standing Deadwood","Lichens","Lichen Branches","New Trees","Old Trees","Protected Area","Managed Forest?","Evidence of Logging","Average Precipitation this Year","Average Temperature this Year","River, Lake or Spring Nearby?","Distance to Major Road","Distance to Settlement","Date#date","Latitude#number","Longitude#number","#href","See it in GFW#link#hidden"
"Photo 114","default","Francis W. Parker School","Chicago, IL","USA","In this imag of the tree, there are large spike like branches coming out of the bark and some branches.","Fair","I don't know","","I don't know","","Below 25%","Above 75%","Yes","Yes","Virtually absent","Small amount","Yes","No","25-50%","25-50%","No","Yes","I don't know","Drier","Warmer","Yes","0-1km","0-1km","4/28/2016","41.874163","-87.630901","http://www.globalforestwatch.org/map/13/41.874163/-87.630901/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.630901/http://www.globalforestwatch.org/map/13/41.874163/-87.630901/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 115","default","Francis W. Parker School","Chicago, IL","USA","This environment on this day was chilly, cloudy, and lichen was visible on the trees and there was evidence of logging on the tree.","I don't know","I don't know","","No","","Below 25%","Above 75%","I don't know","I don't know","Virtually absent","Absent","Yes","I don't know","Above 75%","Below 25%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926193","-87.638052","http://www.globalforestwatch.org/map/13/41.926193/-87.638052/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638052/http://www.globalforestwatch.org/map/13/41.926193/-87.638052/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 116","default","Francis W. Parker School","Chicago, IL","USA","Tons of trees.","Fair","No","","No","","Below 25%","Above 75%","No","No","I don't know","I don't know","Yes","No","25-50%","50-75%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926101","-87.638025","http://www.globalforestwatch.org/map/13/41.926101/-87.638025/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638025/http://www.globalforestwatch.org/map/13/41.926101/-87.638025/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 117","default","Francis W. Parker School","Chicago, IL","USA","All of the trees looked pretty healthy, most had lichen on them and they were beginning to start growing their leaves.","Fair","I don't know","","No","","Below 25%","Above 75%","No","No","I don't know","I don't know","Yes","I don't know","Below 25%","Below 25%","No","Yes","I don't know","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926021","-87.638766","http://www.globalforestwatch.org/map/13/41.926021/-87.638766/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638766/http://www.globalforestwatch.org/map/13/41.926021/-87.638766/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 118","default","Francis W. Parker School","Chicago, IL","USA","On of the only treesthat has not started to grow leaves yet in this urban forest","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","Yes","No","50-75%","Below 25%","No","Yes","No","I don't know","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926316","-87.638133","http://www.globalforestwatch.org/map/13/41.926316/-87.638133/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638133/http://www.globalforestwatch.org/map/13/41.926316/-87.638133/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 119","default","Francis W. Parker School","Chicago, IL","USA","- Some trees have branches growing out of their trunks\n- Most trees are in fair health\n- Some trees have red leaves\n- There are trees with buds growing off the leaves","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","No","25-50%","25-50%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.923674","-87.636824","http://www.globalforestwatch.org/map/13/41.923674/-87.636824/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636824/http://www.globalforestwatch.org/map/13/41.923674/-87.636824/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 120","default","Francis W. Parker School","Chicago, IL","USA","The urban forest did not look very healthy. The trees looked very old and in poor shape. The urban forest did not look well kept.","Poor","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","Yes","No","25-50%","50-75%","No","No","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.869561","-87.615967","http://www.globalforestwatch.org/map/13/41.869561/-87.615967/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.615967/http://www.globalforestwatch.org/map/13/41.869561/-87.615967/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 121","default","Francis W. Parker School","Chicago, IL","USA","Good health. Lichens are widespread. Some of the branches have been chopped off.","Excellent","No","","No","","Above 75%","Below 25%","Yes","No","Small amount","Absent","Yes","Yes","25-50%","50-75%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.925997","-87.637757","http://www.globalforestwatch.org/map/13/41.925997/-87.637757/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.637757/http://www.globalforestwatch.org/map/13/41.925997/-87.637757/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 122","default","Francis W. Parker School","Chicago, IL","USA","A wide variety of young and old trees.","Fair","No","","No","","Below 25%","Above 75%","No","No","I don't know","I don't know","Yes","No","Below 25%","25-50%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.92642","-87.637424","http://www.globalforestwatch.org/map/13/41.926420/-87.637424/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.637424/http://www.globalforestwatch.org/map/13/41.926420/-87.637424/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 123","default","Francis W. Parker School","Chicago, IL","USA","A lot of lichen and rough bumpy bark.","Fair","I don't know","No","No","","Below 25%","Above 75%","Yes","I don't know","Virtually absent","Small amount","Yes","No","50-75%","25-50%","No","I don't know","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.809452","-87.628498","http://www.globalforestwatch.org/map/13/41.809452/-87.628498/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.628498/http://www.globalforestwatch.org/map/13/41.809452/-87.628498/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 124","default","Francis W. Parker School","Chicago, IL","USA","I saw that there was a lot of lichen and it was a damp environment.","Excellent","I don't know","","No","","Below 25%","Above 75%","No","No","Virtually absent","Absent","Yes","I don't know","Above 75%","Below 25%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.925754","-87.638642","http://www.globalforestwatch.org/map/13/41.925754/-87.638642/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638642/http://www.globalforestwatch.org/map/13/41.925754/-87.638642/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 125","default","Francis W. Parker School","Chicago, IL","USA","I see trees starting to grow leaves. I also see a few dead trees, but the forest looked like it was in fair health..","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","I don't know","50-75%","50-75%","No","Yes","No","I don't know","Warmer","Yes","0-1km","0-1km","4/27/2016","41.925989","-87.638412","http://www.globalforestwatch.org/map/13/41.925989/-87.638412/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638412/http://www.globalforestwatch.org/map/13/41.925989/-87.638412/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 126","default","Francis W. Parker School","Chicago, IL","USA","The trees looked pretty healthy, the leaves on the trees look like they were starting to grow.","Fair","No","","No","","Below 25%","Above 75%","I don't know","No","I don't know","I don't know","Yes","I don't know","50-75%","50-75%","No","Yes","I don't know","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.925941","-87.638369","http://www.globalforestwatch.org/map/13/41.925941/-87.638369/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638369/http://www.globalforestwatch.org/map/13/41.925941/-87.638369/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 127","default","Francis W. Parker School","Chicago, IL","USA","This is an example of a tree with different coloured leaves and one that is much different looking than the rest of those in this urban forest","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Small amount","Absent","Yes","No","Below 25%","Below 25%","No","Yes","No","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926452","-87.638326","http://www.globalforestwatch.org/map/13/41.926452/-87.638326/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638326/http://www.globalforestwatch.org/map/13/41.926452/-87.638326/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 128","default","Francis W. Parker School","Chicago, IL","USA","-The branches of many trees are very long, and come into contact with the branches of other trees\n-There are green leaves beginning to grow on trees\n-Trees have a larger, thick trunk with rough bark","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","No","25-50%","25-50%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.92476","-87.63588","http://www.globalforestwatch.org/map/13/41.924760/-87.635880/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635880/http://www.globalforestwatch.org/map/13/41.924760/-87.635880/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 129","default","Francis W. Parker School","Chicago, IL","USA","","Excellent","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","Yes","No","Below 25%","Below 25%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926109","-87.638213","http://www.globalforestwatch.org/map/13/41.926109/-87.638213/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638213/http://www.globalforestwatch.org/map/13/41.926109/-87.638213/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 130","default","Francis W. Parker School","Chicago, IL","USA","A tree in fair health despite the broken branch","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","No","50-75%","25-50%","No","Yes","No","Wetter","Normal","Yes","1-2km","0-1km","5/27/2016","41.92626","-87.638379","http://www.globalforestwatch.org/map/13/41.926260/-87.638379/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638379/http://www.globalforestwatch.org/map/13/41.926260/-87.638379/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 131","default","Francis W. Parker School","Chicago, IL","USA","I see around thirty trees in a small plane of land, in an urban environment. Cars driving by and building close, city's substances can infiltrate the trees. The grass is not very present, and mostly dead. There are not many leaves on the trees, and there are some strange plants or bumps perturbing out of the relatively dry bark.","I don't know","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","Yes","No","25-50%","50-75%","No","Yes","No","Drier","Warmer","Yes","0-1km","0-1km","4/28/2016","41.640078","-87.583008","http://www.globalforestwatch.org/map/13/41.640078/-87.583008/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.583008/http://www.globalforestwatch.org/map/13/41.640078/-87.583008/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 132","default","Francis W. Parker School","Chicago, IL","USA","","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","Yes","Yes","25-50%","25-50%","No","No","No","Normal","I don't know","Yes","0-1km","0-1km","4/27/2016","41.926005","-87.638948","http://www.globalforestwatch.org/map/13/41.926005/-87.638948/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638948/http://www.globalforestwatch.org/map/13/41.926005/-87.638948/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 133","default","Francis W. Parker School","Chicago, IL","USA","","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","Yes","25-50%","50-75%","No","Yes","Yes","Wetter","Normal","Yes","1-2km","1-2km","4/27/2016","41.873651","-87.618713","http://www.globalforestwatch.org/map/13/41.873651/-87.618713/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.618713/http://www.globalforestwatch.org/map/13/41.873651/-87.618713/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 134","default","Francis W. Parker School","Chicago, IL","USA","I see around thirty trees in a small plane of land, in an urban environment. Cars driving by and building close, city's substances can infiltrate the trees. The grass is not very present, and mostly dead. There are not many leaves on the trees, and there are some strange plants or bumps perturbing out of the relatively dry bark.","I don't know","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","No","25-50%","50-75%","No","Yes","No","Drier","Warmer","Yes","0-1km","0-1km","4/28/2016","41.708208","-87.462553","http://www.globalforestwatch.org/map/13/41.708208/-87.462553/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.462553/http://www.globalforestwatch.org/map/13/41.708208/-87.462553/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 135","default","Francis W. Parker School","Chicago, IL","USA","I see a tree that is growing at a fast rate compared to the other trees. It looks very healthy, and it is a deciduous tree.","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","No","50-75%","50-75%","No","Yes","I don't know","I don't know","Warmer","Yes","0-1km","0-1km","4/27/2016","41.926197","-87.638369","http://www.globalforestwatch.org/map/13/41.926197/-87.638369/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.638369/http://www.globalforestwatch.org/map/13/41.926197/-87.638369/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 136","default","Francis W. Parker School","Chicago, IL","USA","The tree is rotting on one side, and is almost completely green.","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Small amount","Absent","Yes","No","50-75%","25-50%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.925965","-87.637746","http://www.globalforestwatch.org/map/13/41.925965/-87.637746/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.637746/http://www.globalforestwatch.org/map/13/41.925965/-87.637746/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 137","default","Francis W. Parker School","Chicago, IL","USA","","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","Yes","Yes","25-50%","25-50%","No","No","No","Normal","Normal","Yes","0-1km","0-1km","4/27/2016","41.923778","-87.63633","http://www.globalforestwatch.org/map/13/41.923778/-87.636330/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636330/http://www.globalforestwatch.org/map/13/41.923778/-87.636330/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 138","default","Francis W. Parker School","Chicago, IL","USA","Alot of perfectley placed tres, along side smaller shrubs and colorful flowers","I don't know","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","50-75%","25-50%","No","No","Yes","Normal","Colder","Yes","0-1km","0-1km","4/27/2016","41.922397","-87.63515","http://www.globalforestwatch.org/map/13/41.922397/-87.635150/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635150/http://www.globalforestwatch.org/map/13/41.922397/-87.635150/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 139","default","Francis W. Parker School","Chicago, IL","USA","A larger tree with blossoming white flowers on the top half of the tree are shown, along with small plants/flowers surround the tree. It's within 50 feet of a road, which could affect its condition. Litter is also seen near the base of the tree.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Above 75%","Below 25%","No","Yes","No","Normal","Warmer","Yes","0-1km","0-1km","4/28/2016","41.9209","-87.63589","http://www.globalforestwatch.org/map/13/41.920900/-87.635890/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635890/http://www.globalforestwatch.org/map/13/41.920900/-87.635890/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 140","default","Francis W. Parker School","Chicago, IL","USA","A birds nest on top of a leafless tree. this was one of the bigger trees in the area","I don't know","I don't know","","No","","Below 25%","Above 75%","Yes","I don't know","Virtually absent","Absent","No","No","Above 75%","Below 25%","No","No","Yes","I don't know","Colder","Yes","0-1km","0-1km","4/27/2016","41.922588","-87.635128","http://www.globalforestwatch.org/map/13/41.922588/-87.635128/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635128/http://www.globalforestwatch.org/map/13/41.922588/-87.635128/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 141","default","Francis W. Parker School","Chicago, IL","USA","There are many different types of trees, oriental trees, and bushes. The majority of the trees were healthy with the exception of one tree. This tree had bumps that contained colonies of microscopic organisms. The only form of negative human made destruction was a small about litter. We saw a few shopping bags in the trees and a single rice crispy wrapper.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Above 75%","Below 25%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.924281","-87.636201","http://www.globalforestwatch.org/map/13/41.924281/-87.636201/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636201/http://www.globalforestwatch.org/map/13/41.924281/-87.636201/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 142","default","Francis W. Parker School","Chicago, IL","USA","Medium to small trees. I observed at a park nearby. Some trees have plastic bags hanging on their branches.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Above 75%","Below 25%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/27/2016","41.922445","-87.636089","http://www.globalforestwatch.org/map/13/41.922445/-87.636089/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636089/http://www.globalforestwatch.org/map/13/41.922445/-87.636089/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 143","default","Francis W. Parker School","Chicago, IL","USA","Many trees, a lot of grass and plants. Most plants are kept in good health and trimmed.","Fair","I don't know","","I don't know","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","25-50%","Below 25%","No","Yes","No","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.92302","-87.636158","http://www.globalforestwatch.org/map/13/41.923020/-87.636158/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636158/http://www.globalforestwatch.org/map/13/41.923020/-87.636158/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 144","default","Francis W. Parker School","Chicago, IL","USA","There are many different types of trees, oriental trees, and bushes. The majority of the trees were healthy with the exception of one tree. This tree had bumps that contained colonies of microscopic organisms. The only form of negative human made destruction was a small about litter. We saw a few shopping bags in the trees and a single rice crispy wrapper.","Fair","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Above 75%","Below 25%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","4/28/2016","41.923115","-87.636116","http://www.globalforestwatch.org/map/13/41.923115/-87.636116/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636116/http://www.globalforestwatch.org/map/13/41.923115/-87.636116/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
